comment_id;comment
1;Все хорошо кроме неожиданных блокировок, без причины на это
2;Заблокировали операцию оплаты Мегафон по лицевому счету без объяснения причины
3;ужас
4;Хорошая оперативность, забота о клиенте
5;хорошая программа
6;Процесс подтверждения транзакций всегда своевременный и прозрачный, хорошая программа
7;Процесс подтверждения транзакций всегда своевременный и прозрачный.
8;он мне не мешает
9;Остановка происходит там где это не нужно
10;Думала, что процесс операции займёт много времени, а оказалось очень всё быстро.
11;устал от ваших сообщений
12;всё очень быстро и просто.
13;все хорошо работает
14;.
15;для меня было не ожиданно быстро
16;Спасибо большое сотрудникам Сбербанка
17;очень странный алгоритм какой-то, операции с большей суммой прошли без проблем, а меньшую пришлось подтверждать. логичней наоборот или я ошибаюсь?
18;Подтверждение пришло почти сразу Операция завершилась с первого раза.
19;Для меня было неожиданно быстро Операция завершилась с первого раза.
20;нормально.
21;Скорость радует, но алгоритм проверки хотелось бы понятнее. Тогда пользоваться станет намного приятнее.
22;в целом нормально, если ничего не менять.
23;Нравится, что безопасность не мешает пользоваться сервисом. Так и должно работать.
24;Нравится, что безопасность не мешает пользоваться сервисом. Так и должно работать.
25;Сообщения приходят слишком часто. Из-за этого хочется отключить пуши совсем.
26;Постоянные сообщения мешают. Иногда кажется, что их больше, чем пользы.
27;Заблокировали платёж за интернет без объяснения причины.
28;заблокировали оплату коммуналки при обычной сумме.
29;Поддержка нормальная, но в редкие моменты всё зависает. Из-за этого впечатление смешанное.
30;Код приходит с задержкой. Иногда после этого вообще отменяю платёж.
31;Скорость приятно удивила Даже не успел начать переживать.
32;Проверка срабатывает там, где это не нужно. Из-за этого теряется время.
33;Алгоритм подтверждения выглядит странно. Хотелось бы меньше лишних шагов...
34;Заблокировали операцию оплаты хотя сумма была небольшой.
35;Процесс подтверждения всегда своевременный и прозрачный. Баланс между удобством и безопасностью хороший...
36;В приложении всё прошло хорошо так что впечатление положительное.
37;Все прошло отлично, всё с первого раза.
38;Подтверждение иногда зависает. Из-за этого теряется время.
39;в целом нормально
40;Все прошло буквально за секунды Операция завершилась с первого раза.
41;Идея отличная, но в редкие моменты всё зависает. Из-за этого впечатление смешанное.
42;Скорость радует, но в редкие моменты всё зависает. Остальное меня устраивает.
